City, Station,Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Upper Hutt, Trentham Ews,2017,Jan,13,07,16.1,12.5,63.0,9.1
Upper Hutt, Trentham Ews,2017,Jan,13,08,17.4,13.5,62.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,13,09,17.5,13.0,57.0,8.9
Upper Hutt, Trentham Ews,2017,Jan,13,10,18.6,12.4,44.0,6.1
Upper Hutt, Trentham Ews,2017,Jan,13,11,19.2,13.9,52.0,9.1
Upper Hutt, Trentham Ews,2017,Jan,13,12,20.2,14.1,47.0,8.6
Upper Hutt, Trentham Ews,2017,Jan,13,13,20.0,13.4,43.0,7.1
Upper Hutt, Trentham Ews,2017,Jan,13,14,20.2,15.4,58.0,11.7
Upper Hutt, Trentham Ews,2017,Jan,13,15,19.8,15.1,58.0,11.3
Upper Hutt, Trentham Ews,2017,Jan,13,16,18.2,14.2,62.0,10.8
Upper Hutt, Trentham Ews,2017,Jan,13,17,17.6,14.0,65.0,11.0
Upper Hutt, Trentham Ews,2017,Jan,13,18,16.3,13.4,70.0,10.8
Upper Hutt, Trentham Ews,2017,Jan,13,19,15.9,13.2,72.0,10.9
Upper Hutt, Trentham Ews,2017,Jan,13,20,15.0,12.7,75.0,10.6
Upper Hutt, Trentham Ews,2017,Jan,13,21,14.5,12.4,77.0,10.5
Upper Hutt, Trentham Ews,2017,Jan,13,22,14.4,12.3,77.0,10.4
Upper Hutt, Trentham Ews,2017,Jan,13,23,14.4,12.3,77.0,10.4
Upper Hutt, Trentham Ews,2017,Jan,14,00,13.9,12.0,79.0,10.3
Upper Hutt, Trentham Ews,2017,Jan,14,01,12.7,11.2,82.0,9.7
Upper Hutt, Trentham Ews,2017,Jan,14,02,10.9,10.1,90.0,9.3
Upper Hutt, Trentham Ews,2017,Jan,14,03,11.0,10.5,93.0,9.9
Upper Hutt, Trentham Ews,2017,Jan,14,04,9.6,9.2,95.0,8.8
Upper Hutt, Trentham Ews,2017,Jan,14,05,9.0,8.6,94.0,8.1
Upper Hutt, Trentham Ews,2017,Jan,14,06,10.7,10.2,94.0,9.8
